gene_id,gene_full_id,mean_log,var_log,detected_cells,detected_fraction,original_index,acute_vs_control_log_delta,p53DN_vs_p53WT_log_delta,candidate_score,gene_symbol,biotype,description,seq_region_name
ENSG00000151465,ENSG00000151465.13,0.71624833,0.10666863,8976,0.9755461362895338,19229,-0.09507692,0.052937865,0.14801578,CDC123,protein_coding,cell division cycle 123 [Source:HGNC Symbol;Acc:HGNC:16827],10
ENSG00000160014,ENSG00000160014.16,0.9760247,0.074326746,9167,0.9963047494837518,14736,0.110917866,0.03709656,0.14801542,CALM3,protein_coding,calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449],19
ENSG00000113328,ENSG00000113328.18,0.6999772,0.072658606,9045,0.9830453211607434,6831,0.036657512,-0.110948145,0.14760666,CCNG1,protein_coding,cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592],5
ENSG00000100575,ENSG00000100575.13,0.7877664,0.08245166,9061,0.9847842625801544,8628,-0.08647472,0.061071336,0.14754705,TIMM9,protein_coding,translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819],14
ENSG00000069275,ENSG00000069275.12,1.6708335,0.118199,9194,0.9992392131290078,14970,0.03149867,0.115936995,0.14743666,NUCKS1,protein_coding,nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923],1
ENSG00000135940,ENSG00000135940.6,2.171388,0.07609099,9201,1.0,8493,-0.023595095,-0.12368059,0.14727668,COX5B,protein_coding,cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269],2
ENSG00000112419,ENSG00000112419.14,0.48905796,0.06504065,8544,0.9285947179654386,14345,0.0710215,0.07605082,0.14707331,PHACTR2,protein_coding,phosphatase and actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:20956],6
ENSG00000008394,ENSG00000008394.12,2.0819786,0.084107935,9201,1.0,3865,-0.10990453,0.037152052,0.14705758,MGST1,protein_coding,microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061],12
ENSG00000181163,ENSG00000181163.13,2.691963,0.12972026,9201,1.0,3990,-0.14452338,0.0024499893,0.14697437,NPM1,protein_coding,nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910],5
ENSG00000108424,ENSG00000108424.9,1.1752356,0.091738045,9191,0.998913161612868,2832,-0.04474902,0.10221994,0.14696996,KPNB1,protein_coding,karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400],17
