gene_id	gene_symbol	biotype	description	seq_region_name
ENSG00000198729	PPP1R14C	protein_coding	protein phosphatase 1 regulatory inhibitor subunit 14C [Source:HGNC Symbol;Acc:HGNC:14952]	6
ENSG00000264364	DYNLL2	protein_coding	dynein light chain LC8-type 2 [Source:HGNC Symbol;Acc:HGNC:24596]	17
ENSG00000122786	CALD1	protein_coding	caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]	7
ENSG00000101294	HM13	protein_coding	histocompatibility minor 13 [Source:HGNC Symbol;Acc:HGNC:16435]	20
ENSG00000113719	ERGIC1	protein_coding	endoplasmic reticulum-golgi intermediate compartment 1 [Source:HGNC Symbol;Acc:HGNC:29205]	5
ENSG00000071127	WDR1	protein_coding	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	4
ENSG00000128463	EMC4	protein_coding	ER membrane protein complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:28032]	15
ENSG00000115091	ACTR3	protein_coding	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	2
ENSG00000144895	EIF2A	protein_coding	eukaryotic translation initiation factor 2A [Source:HGNC Symbol;Acc:HGNC:3254]	3
ENSG00000114023	FAM162A	protein_coding	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	3
ENSG00000117906	RCN2	protein_coding	reticulocalbin 2 [Source:HGNC Symbol;Acc:HGNC:9935]	15
ENSG00000170540	ARL6IP1	protein_coding	ARL6 interacting reticulophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:697]	16
ENSG00000075218	GTSE1	protein_coding	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	22
ENSG00000139180	NDUFA9	protein_coding	NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693]	12
ENSG00000130811	EIF3G	protein_coding	eukaryotic translation initiation factor 3 subunit G [Source:HGNC Symbol;Acc:HGNC:3274]	19
ENSG00000160888	IER2	protein_coding	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	19
ENSG00000023572	GLRX2	protein_coding	glutaredoxin 2 [Source:HGNC Symbol;Acc:HGNC:16065]	1
ENSG00000101439	CST3	protein_coding	cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]	20
ENSG00000111912	NCOA7	protein_coding	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]	6
ENSG00000258289	CHURC1	protein_coding	churchill domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20099]	14
ENSG00000091527	CDV3	protein_coding	CDV3 homolog [Source:HGNC Symbol;Acc:HGNC:26928]	3
ENSG00000127483	HP1BP3	protein_coding	heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]	1
ENSG00000169223	LMAN2	protein_coding	lectin, mannose binding 2 [Source:HGNC Symbol;Acc:HGNC:16986]	5
ENSG00000147687	TATDN1	protein_coding	TatD DNase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24220]	8
ENSG00000055950	MRPL43	protein_coding	mitochondrial ribosomal protein L43 [Source:HGNC Symbol;Acc:HGNC:14517]	10
ENSG00000185608	MRPL40	protein_coding	mitochondrial ribosomal protein L40 [Source:HGNC Symbol;Acc:HGNC:14491]	22
ENSG00000115884	SDC1	protein_coding	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	2
ENSG00000164171	ITGA2	protein_coding	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	5
ENSG00000138095	LRPPRC	protein_coding	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	2
ENSG00000120533	ENY2	protein_coding	ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]	8
ENSG00000168066	SF1	protein_coding	splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:12950]	11
ENSG00000167653	PSCA	protein_coding	prostate stem cell antigen [Source:HGNC Symbol;Acc:HGNC:9500]	8
ENSG00000100413	POLR3H	protein_coding	RNA polymerase III subunit H [Source:HGNC Symbol;Acc:HGNC:30349]	22
ENSG00000116030	SUMO1	protein_coding	small ubiquitin like modifier 1 [Source:HGNC Symbol;Acc:HGNC:12502]	2
ENSG00000237190	CDKN2AIPNL	protein_coding	CDKN2A interacting protein N-terminal like [Source:HGNC Symbol;Acc:HGNC:30545]	5
ENSG00000213699	SLC35F6	protein_coding	solute carrier family 35 member F6 [Source:HGNC Symbol;Acc:HGNC:26055]	2
ENSG00000112096	ENSG00000112096			
ENSG00000167601	AXL	protein_coding	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	19
ENSG00000086065	CHMP5	protein_coding	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	9
ENSG00000169718	DUS1L	protein_coding	dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]	17
ENSG00000198546	ZNF511	protein_coding	zinc finger protein 511 [Source:HGNC Symbol;Acc:HGNC:28445]	10
ENSG00000164134	NAA15	protein_coding	N-alpha-acetyltransferase 15, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:30782]	4
ENSG00000107372	ZFAND5	protein_coding	zinc finger AN1-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13008]	9
ENSG00000128228	SDF2L1	protein_coding	stromal cell derived factor 2 like 1 [Source:HGNC Symbol;Acc:HGNC:10676]	22
ENSG00000100612	DHRS7	protein_coding	dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]	14
ENSG00000111321	LTBR	protein_coding	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	12
ENSG00000135535	CD164	protein_coding	CD164 molecule [Source:HGNC Symbol;Acc:HGNC:1632]	6
ENSG00000173418	NAA20	protein_coding	N-alpha-acetyltransferase 20, NatB catalytic subunit [Source:HGNC Symbol;Acc:HGNC:15908]	20
ENSG00000138778	CENPE	protein_coding	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	4
ENSG00000078140	UBE2K	protein_coding	ubiquitin conjugating enzyme E2 K [Source:HGNC Symbol;Acc:HGNC:4914]	4
ENSG00000168385	SEPTIN2	protein_coding	septin 2 [Source:HGNC Symbol;Acc:HGNC:7729]	2
ENSG00000089597	GANAB	protein_coding	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]	11
ENSG00000152234	ATP5F1A	protein_coding	ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823]	18
ENSG00000188690	UROS	protein_coding	uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592]	10
ENSG00000182180	MRPS16	protein_coding	mitochondrial ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:14048]	10
ENSG00000035141	FAM136A	protein_coding	family with sequence similarity 136 member A [Source:HGNC Symbol;Acc:HGNC:25911]	2
ENSG00000158864	NDUFS2	protein_coding	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	1
ENSG00000127837	AAMP	protein_coding	angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]	2
ENSG00000170860	LSM3	protein_coding	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	3
ENSG00000147669	POLR2K	protein_coding	RNA polymerase II, I and III subunit K [Source:HGNC Symbol;Acc:HGNC:9198]	8
ENSG00000131174	COX7B	protein_coding	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	X
ENSG00000143252	SDHC	protein_coding	succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]	1
ENSG00000171208	NETO2	protein_coding	neuropilin and tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:14644]	16
ENSG00000095380	NANS	protein_coding	N-acetylneuraminate synthase [Source:HGNC Symbol;Acc:HGNC:19237]	9
ENSG00000137038	DMAC1	protein_coding	distal membrane arm assembly component 1 [Source:HGNC Symbol;Acc:HGNC:30536]	9
ENSG00000163923	RPL39L	protein_coding	ribosomal protein L39 like [Source:HGNC Symbol;Acc:HGNC:17094]	3
ENSG00000156256	USP16	protein_coding	ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]	21
ENSG00000198492	YTHDF2	protein_coding	YTH N6-methyladenosine RNA binding protein F2 [Source:HGNC Symbol;Acc:HGNC:31675]	1
ENSG00000137076	TLN1	protein_coding	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]	9
ENSG00000121774	KHDRBS1	protein_coding	KH RNA binding domain containing, signal transduction associated 1 [Source:HGNC Symbol;Acc:HGNC:18116]	1
ENSG00000124107	SLPI	protein_coding	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	20
ENSG00000090621	PABPC4	protein_coding	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]	1
ENSG00000137563	GGH	protein_coding	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	8
ENSG00000166263	STXBP4	protein_coding	syntaxin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19694]	17
ENSG00000106052	TAX1BP1	protein_coding	Tax1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]	7
ENSG00000134717	BTF3L4	protein_coding	basic transcription factor 3 like 4 [Source:HGNC Symbol;Acc:HGNC:30547]	1
ENSG00000232119	MCTS1	protein_coding	MCTS1 re-initiation and release factor [Source:HGNC Symbol;Acc:HGNC:23357]	X
ENSG00000138162	TACC2	protein_coding	transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]	10
ENSG00000134283	PPHLN1	protein_coding	periphilin 1 [Source:HGNC Symbol;Acc:HGNC:19369]	12
ENSG00000140307	GTF2A2	protein_coding	general transcription factor IIA subunit 2 [Source:HGNC Symbol;Acc:HGNC:4647]	15
ENSG00000241553	ARPC4	protein_coding	actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]	3
ENSG00000101367	MAPRE1	protein_coding	microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890]	20
ENSG00000139684	ESD	protein_coding	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]	13
ENSG00000175550	DRAP1	protein_coding	DR1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:3019]	11
ENSG00000158195	WASF2	protein_coding	WASP family member 2 [Source:HGNC Symbol;Acc:HGNC:12733]	1
ENSG00000114383	TUSC2	protein_coding	tumor suppressor 2, mitochondrial calcium regulator [Source:HGNC Symbol;Acc:HGNC:17034]	3
ENSG00000162961	DPY30	protein_coding	dpy-30 histone methyltransferase complex regulatory subunit [Source:HGNC Symbol;Acc:HGNC:24590]	2
ENSG00000154380	ENAH	protein_coding	ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271]	1
ENSG00000099875	MKNK2	protein_coding	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	19
ENSG00000072274	TFRC	protein_coding	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	3
ENSG00000107262	BAG1	protein_coding	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]	9
ENSG00000103018	CYB5B	protein_coding	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	16
ENSG00000177674	AGTRAP	protein_coding	angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]	1
ENSG00000133030	MPRIP	protein_coding	myosin phosphatase Rho interacting protein [Source:HGNC Symbol;Acc:HGNC:30321]	17
